Space Name,Frequency,Index,x,y
Atlantic Ave,1491,26,10,4
B & O Railroad,1671,25,10,5
Baltic Ave,1225,3,0,3
Boardwalk,1443,39,1,0
Chance #1,1316,7,0,7
Chance #2,1599,22,10,8
Chance #3,1235,36,4,0
Community Chest #1,1173,2,0,2
Community Chest #2,1583,17,7,10
Community Chest #3,1519,33,7,0
Connecticut Ave,1249,9,0,9
Electric Company,1324,12,2,10
Free Parking,1588,20,10,10
Go,1722,0,0,0
Go To Jail,1484,30,10,0
Illinois Ave,1746,24,10,6
Income Tax,1306,4,0,4
Indiana Ave,1522,23,10,7
Jail,3438,10,0,10
Kentucky Ave,1592,21,10,9
Luxury Tax,1258,38,2,0
Marvin Gardens,1506,29,10,1
Mediterranean Ave,1202,1,0,1
New York Ave,1704,19,9,10
North Carolina Ave,1428,32,8,0
Oriental Ave,1297,6,0,6
Pacific Ave,1482,31,9,0
Park Place,1241,37,3,0
Pennsylvania Ave,1413,34,6,0
Pennsylvania Railroad,1595,15,5,10
Reading Railroad,1618,5,0,5
Short Line,1265,35,5,0
St. Charles Place,1547,11,1,10
St. James Place,1589,16,6,10
States Ave,1395,13,3,10
Tennessee Ave,1634,18,8,10
Ventnor Ave,1490,27,10,3
Vermont Ave,1255,8,0,8
Virginia Ave,1357,14,4,10
Water Works,1498,28,10,2
Not,800,40,1,1
Not,800,41,2,1
Not,800,42,3,1
Not,800,43,4,1
Not,800,44,5,1
Not,800,45,6,1
Not,800,46,7,1
Not,800,47,8,1
Not,800,48,9,1
Not,800,49,1,2
Not,800,50,2,2
Not,800,51,3,2
Not,800,52,4,2
Not,800,53,5,2
Not,800,54,6,2
Not,800,55,7,2
Not,800,56,8,2
Not,800,57,9,2
Not,800,58,1,3
Not,800,59,2,3
Not,800,60,3,3
Not,800,61,4,3
Not,800,62,5,3
Not,800,63,6,3
Not,800,64,7,3
Not,800,65,8,3
Not,800,66,9,3
Not,800,67,1,4
Not,800,68,2,4
Not,800,69,3,4
Not,800,70,4,4
Not,800,71,5,4
Not,800,72,6,4
Not,800,73,7,4
Not,800,74,8,4
Not,800,75,9,4
Not,800,76,1,5
Not,800,77,2,5
Not,800,78,3,5
Not,800,79,4,5
Not,800,80,5,5
Not,800,81,6,5
Not,800,82,7,5
Not,800,83,8,5
Not,800,84,9,5
Not,800,85,1,6
Not,800,86,2,6
Not,800,87,3,6
Not,800,88,4,6
Not,800,89,5,6
Not,800,90,6,6
Not,800,91,7,6
Not,800,92,8,6
Not,800,93,9,6
Not,800,94,1,7
Not,800,95,2,7
Not,800,96,3,7
Not,800,97,4,7
Not,800,98,5,7
Not,800,99,6,7
Not,800,100,7,7
Not,800,101,8,7
Not,800,102,9,7
Not,800,103,1,8
Not,800,104,2,8
Not,800,105,3,8
Not,800,106,4,8
Not,800,107,5,8
Not,800,108,6,8
Not,800,109,7,8
Not,800,110,8,8
Not,800,111,9,8
Not,800,112,1,9
Not,800,113,2,9
Not,800,114,3,9
Not,800,115,4,9
Not,800,116,5,9
Not,800,117,6,9
Not,800,118,7,9
Not,800,119,8,9
Not,800,120,9,9
