Current,Next,I_next,I_current
Go,Oriental Ave,6,0
Oriental Ave,Virginia Ave,14,6
Virginia Ave,Tennessee Ave,18,14
Tennessee Ave,Illinois Ave,24,18
Illinois Ave,Pennsylvania Ave,34,24
Pennsylvania Ave,Baltic Ave,3,34
Baltic Ave,St. Charles Place,11,3
St. Charles Place,Community Chest #2,17,11
Community Chest #2,Illinois Ave,24,17
Illinois Ave,Community Chest #3,33,24
Community Chest #3,Jail,10,33
Jail,Pennsylvania Railroad,15,10
Pennsylvania Railroad,Illinois Ave,24,15
Illinois Ave,Marvin Gardens,29,24
Marvin Gardens,Chance #3,36,29
Chance #3,Go,0,36
Go,Jail,10,0
Jail,Free Parking,20,10
Free Parking,Water Works,28,20
Water Works,Short Line,35,28
Short Line,Community Chest #1,2,35
Community Chest #1,Connecticut Ave,9,2
Connecticut Ave,St. James Place,16,9
St. James Place,Free Parking,20,16
Free Parking,Pacific Ave,31,20
Pacific Ave,Mediterranean Ave,1,31
Mediterranean Ave,Electric Company,12,1
Electric Company,Chance #2,22,12
Chance #2,Boardwalk,39,22
Boardwalk,Chance #1,7,39
Chance #1,Reading Railroad,5,7
Reading Railroad,States Ave,13,5
States Ave,B & O Railroad,25,13
B & O Railroad,Pacific Ave,31,25
Pacific Ave,Luxury Tax,38,31
Luxury Tax,Income Tax,4,38
Income Tax,Pennsylvania Railroad,15,4
Pennsylvania Railroad,Community Chest #2,17,15
Community Chest #2,Kentucky Ave,21,17
Kentucky Ave,Water Works,28,21
Water Works,North Carolina Ave,32,28
North Carolina Ave,Income Tax,4,32
Income Tax,St. Charles Place,11,4
St. Charles Place,New York Ave,19,11
New York Ave,Kentucky Ave,21,19
Kentucky Ave,Illinois Ave,24,21
Illinois Ave,Water Works,28,24
Water Works,Pennsylvania Ave,34,28
Pennsylvania Ave,Go,0,34
Go,Chance #1,7,0
Chance #1,Pennsylvania Railroad,15,7
Pennsylvania Railroad,Chance #2,22,15
Chance #2,Ventnor Ave,27,22
Ventnor Ave,Marvin Gardens,29,27
Marvin Gardens,Pennsylvania Ave,34,29
Pennsylvania Ave,Baltic Ave,3,34
Baltic Ave,States Ave,13,3
States Ave,Chance #2,22,13
Chance #2,St. Charles Place,11,22
St. Charles Place,New York Ave,19,11
New York Ave,B & O Railroad,25,19
B & O Railroad,North Carolina Ave,32,25
North Carolina Ave,Luxury Tax,38,32
Luxury Tax,Mediterranean Ave,1,38
Mediterranean Ave,Chance #1,7,1
Chance #1,Reading Railroad,5,7
Reading Railroad,St. Charles Place,11,5
St. Charles Place,New York Ave,19,11
New York Ave,Atlantic Ave,26,19
Atlantic Ave,Chance #3,36,26
Chance #3,Oriental Ave,6,36
Oriental Ave,St. Charles Place,11,6
St. Charles Place,Free Parking,20,11
Free Parking,Pacific Ave,31,20
Pacific Ave,Mediterranean Ave,1,31
Mediterranean Ave,Jail,10,1
Jail,Free Parking,20,10
Free Parking,B & O Railroad,25,20
B & O Railroad,Chance #3,36,25
Chance #3,Income Tax,4,36
Income Tax,St. Charles Place,11,4
St. Charles Place,St. James Place,16,11
St. James Place,Free Parking,20,16
Free Parking,Ventnor Ave,27,20
Ventnor Ave,Pennsylvania Ave,34,27
Pennsylvania Ave,Luxury Tax,38,34
Luxury Tax,Chance #1,7,38
Chance #1,Boardwalk,39,7
Boardwalk,Income Tax,4,39
Income Tax,Oriental Ave,6,4
Oriental Ave,Jail,10,6
Jail,St. James Place,16,10
St. James Place,Illinois Ave,24,16
Illinois Ave,Pacific Ave,31,24
Pacific Ave,Chance #3,36,31
Chance #3,Reading Railroad,5,36
Reading Railroad,States Ave,13,5
States Ave,Free Parking,20,13
Free Parking,B & O Railroad,25,20
B & O Railroad,Go To Jail,30,25
Go To Jail,Jail,10,30
Jail,Pennsylvania Railroad,15,10
Pennsylvania Railroad,Tennessee Ave,18,15
Tennessee Ave,Kentucky Ave,21,18
Kentucky Ave,Community Chest #3,33,21
Community Chest #3,Mediterranean Ave,1,33
